,ID,class,formula,interface_atom,spacegroup,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean FirstIonizationEnergy,MagpieData mean CovalentRadius,MagpieData mean NValence,PymatgenData mean X,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean FirstIonizationEnergy_A,MagpieData mean Density_A,MagpieData mean MendeleevNumber_A,MagpieData mean CovalentRadius_A,MagpieData mean NsValence_A,MagpieData mean NValence_A,MagpieData mean NsUnfilled_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean Polarizability_interface,MagpieData mean NValence_interface
84,a35e830e0ea638c3809ca5f168d6f59d,TMDC-T,Mn1 S2,S1,164,16.80556204062673,0.3497356389366631,0.0,3.349992622047122,3.251867670780467e-09,1.144490538662158,0.0,-19.57331392893568,-0.5668150957679631,5.738757958046044,-2.150699925000618,3.5880580330454257,5.066666666666666,9.38468,116.33333333333331,6.333333333333333,2.236666666666667,12.803333333333333,9.4,7.43402,7470.0,52.0,139.0,2.0,7.0,0.0,1.55,1.4,7.35,2.9,6.0
85,9f53eb5caf23fb63cbddd989f7c7b24a,TMDC-T,Te2 Mo1,Te1,164,101.28535585457702,0.4827452318156982,0.1709020489615345,3.493388423566229,4.9162665134948695e-14,2.945717072346011,0.8251089094812826,-18.000671378648388,-0.1296213105074718,4.222397336266301,0.6533673847534924,4.875764721019793,7.933333333333334,8.370543333333334,143.33333333333334,12.666666666666666,2.12,16.76666666666667,12.8,7.09243,10280.0,50.0,154.0,1.0,6.0,1.0,2.16,1.45,9.38,5.5,16.0
86,aec7d15ee6c014118b2de6b837686fec,TMDC-T,Nb1 Se2,Se1,164,26.587230440613045,0.4065111635997233,0.0329339706618311,3.481358080237393,-2.3969323552057034e-09,2.160572412058792,2.4829292531833964,-19.828300289180397,-0.8454282245687672,4.895349631152854,-0.6303664064917868,4.264983224661068,7.746666666666666,8.754543333333332,134.66666666666666,12.333333333333334,2.233333333333333,14.556666666666668,15.7,6.75885,8570.0,47.0,164.0,1.0,5.0,1.0,1.6,1.45,10.83,3.77,16.0
87,e481ba9ac3447524d956b00b39654fa6,TMDC-T,Pd1 S2,S1,164,7.543545956031743,0.3567779507875268,0.1009048092639493,3.5533946966061247,2.6238488467425346e-10,1.4807778620429772,0.0,-12.562925855899303,-0.1955872589566555,5.713698565461796,-2.2249667535968403,3.488731811864956,3.533333333333333,9.68564,116.33333333333331,7.333333333333333,2.4533333333333336,13.206666666666663,4.8,8.3369,12023.0,62.0,139.0,0.0,10.0,0.0,2.2,1.4,8.56,2.9,6.0
88,8b315e83fe9757d64d64f6ef4cedbb53,TMDC-T,Rh1 Se2,Se1,164,31.2675505005128,0.6130280841636989,0.1171471067523874,3.59558900823906,2.523260774960041e-12,2.174137539936736,4.163383847368897,-15.075175305626614,-0.3207584316413587,5.475963832320213,-1.6864316697896509,3.789532162530562,5.38,8.987893333333334,127.33333333333331,13.666666666666666,2.4599999999999995,13.706666666666669,8.6,7.4589,12450.0,59.0,142.0,1.0,9.0,1.0,2.28,1.35,8.28,3.77,16.0
89,9b9cd1443e58ce8ebb99b217a90b9da8,TMDC-T,Sn1 S2,S1,164,3.1679523971916512,0.3665756475205476,0.0,3.695956040697123,-2.0543050517551865e-14,1.4293784181736795,0.0,-13.416990796698451,-0.4015296261278565,5.997258858790689,-2.3851099894686505,3.612148869322039,4.286666666666666,9.354646666666667,116.33333333333331,8.666666666666666,2.373333333333333,15.783333333333331,7.06,7.34392,7310.0,80.0,139.0,2.0,14.0,0.0,1.96,1.45,16.29,2.9,6.0
90,1c7f38c4efd9837cf7ce664c4269595e,TMDC-T,Ta1 S2,S1,164,5.5923814053002365,0.357503690356642,0.0201640156270279,3.3814948538127485,4.6613572566014544e-14,2.275691925486007,1.4487375801700824,-21.174551663631995,-1.0673109454485374,5.064866718884454,-0.8691351780634252,4.195731540821028,6.3,9.423196666666668,126.66666666666669,10.333333333333334,2.22,13.97,13.1,7.54957,16650.0,48.0,170.0,2.0,19.0,0.0,1.5,1.45,10.85,2.9,6.0
91,a61b3e2aa03dd6724c1c3e3702502fc0,TMDC-T,Ni1 Te2,Te1,164,27.287731718898726,0.4485346670125592,0.0669882626850834,3.783418494395596,-1.1907270337459624e-08,2.3749422776114497,1.8335225360584189,-14.177422868853329,-0.1735249719013503,4.444991304978964,-0.6199715469846739,3.82501975799429,5.933333333333334,8.553,133.33333333333334,14.0,2.036666666666666,15.836666666666668,6.8,7.6398,8908.0,61.0,124.0,2.0,10.0,0.0,1.91,1.35,6.59,5.5,16.0
92,730700528ea6a02685b04739a7594941,TMDC-T,Re1 Te2,Te1,164,27.25127545354285,0.4960823092833126,0.400217978962028,3.3946583467574607,-1.2114507718089116e-14,3.905393261918924,2.1703914091056618,-17.143181598732653,0.3080286912754507,4.007678535286971,1.135895171028769,5.14357370631574,6.9,8.617573333333334,142.33333333333334,17.666666666666668,2.033333333333333,16.593333333333334,9.7,7.83352,21020.0,54.0,151.0,2.0,21.0,0.0,1.9,1.35,8.86,5.5,16.0
93,2b100deb35928e8872687617875b116b,TMDC-T,Zr1 Se2,Se1,164,6.558340890361878,0.3845394780347303,0.0,3.7948378824135367,4.7609182357336724e-14,1.8276564235440995,0.0,-18.470336634042518,-1.3672498309035443,5.397500062748167,-1.5781591732406943,3.819340889507472,8.479999999999999,8.712893333333334,138.33333333333334,12.0,2.143333333333333,15.62,17.9,6.6339,6511.0,44.0,175.0,2.0,4.0,0.0,1.33,1.55,14.02,3.77,16.0
