,spacegroup,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean FirstIonizationEnergy,MagpieData mean CovalentRadius,MagpieData mean NValence,PymatgenData mean X,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean FirstIonizationEnergy_A,MagpieData mean Density_A,MagpieData mean MendeleevNumber_A,MagpieData mean CovalentRadius_A,MagpieData mean NsValence_A,MagpieData mean NValence_A,MagpieData mean NsUnfilled_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean Polarizability_interface,MagpieData mean NValence_interface
workfunction,-0.24272871398406204,-0.2413887866823991,-0.12143412810888524,-0.06086616706095956,-0.1580173025027103,-0.019157476457014613,-0.5411273651949154,-0.06032655725704202,-0.03865393727967013,-0.42554609796697374,1.0,-0.8337997291097383,-0.18186689519543198,0.0051774636204445935,0.26313014091131526,-0.33933495673827463,-0.4521412487083304,0.13741121264592804,-0.13430006579754347,0.2800023907175615,-0.1995025295877216,-0.3639561775501656,-0.1282582383248392,0.19410257571183115,0.18795484845587065,-0.16481552304340077,-0.09670215946698146,-0.3348956670948002,0.26669367089387447,0.4047904462621975,-0.4881046591429866,-0.4504307010114166
efermi,0.16352229659563525,0.2900257647296823,-0.022763884728539373,-0.07126125725299089,-0.21018198579255495,0.08797011981842554,0.7254538194238312,0.0855726703871264,-0.26750440044586016,0.2469996262539037,-0.8337997291097383,1.0,0.69450086859271,0.2529315140579707,-0.4312308536614786,0.4995900018201296,0.4021320936935127,-0.27974887512057084,0.17969329103572554,-0.021974510915159284,0.00727140133136969,0.36988170133293974,-0.03553787927359093,0.024198202336134924,-0.07870377294199249,0.06331342718933627,0.11901867045165229,0.20415905702070272,-0.3300109871749766,-0.4303572000090333,0.5557549003792056,0.46948141780936464
evac,-0.025080421643544723,0.20198956889154923,-0.19880759985629107,-0.20625313451670504,-0.5803081093039566,0.1317220606524038,0.5869193096538422,0.07379741707944194,-0.5268462821147575,-0.11465365449887589,-0.18186689519543198,0.69450086859271,1.0,0.457260698034871,-0.4251644706670353,0.44760810084115216,0.12700242085057717,-0.3191954713162105,0.14503450562258427,0.3257781849054545,-0.24705389191375893,0.18448798256667906,-0.2304538589376559,0.29606889448225077,0.10477122914458668,-0.10202722721989735,0.08596310728604992,-0.07281793120537866,-0.2402308249458286,-0.23898686085434379,0.3537601768171948,0.24919206606797398
MagpieData mean Polarizability,4.2767064792495107e-16,-0.05268536234832158,-0.1765178904664432,-0.46594832277061177,0.05386362341022892,-0.0014417741876723573,0.23177328196462538,-0.13513580092497696,-0.4219656742654565,-0.6179563218421039,0.0051774636204445935,0.2529315140579707,0.457260698034871,1.0,-0.7779481822947245,0.8032525759070285,0.006209733701095456,-0.7671762597282116,0.5017964026181413,0.8719525636969382,-0.6367706384902281,-0.2867138672756338,-0.7198948786966521,0.7725752067087077,0.1942977099092996,-0.43829792909891574,-0.047765747776111936,-0.644199732060543,0.3179744872575602,0.18928801458200759,0.4895903661861996,0.37055281314202976
MagpieData mean FirstIonizationEnergy,5.509203823734595e-15,-0.016278918039012633,0.14941332780919592,0.47672814133706903,-0.16598135872545267,-0.09004310755504052,-0.33279522859503025,0.0987103945808828,0.1257475240781884,0.24636572377516827,0.26313014091131526,-0.4312308536614786,-0.4251644706670353,-0.7779481822947245,1.0,-0.8454139315748487,-0.21271901227919982,0.8003246647929178,-0.6346612759283723,-0.45955370799295125,0.6292831509803309,0.3890926014533297,0.3366283535026051,-0.343465437780214,-0.04826935357188065,0.4515681290433247,-0.014163095809882974,0.38736486109002144,-0.1645589080015576,-0.05744654892158802,-0.7705199581283537,-0.6495139980286451
MagpieData mean CovalentRadius,-2.677297536520805e-15,0.0794580135722878,-0.13074475779028755,-0.29457527815021434,0.3529548382735282,0.08936217227736898,0.6469154010988812,-0.014921212541176123,-0.025891058536693597,-0.16313100887621776,-0.33933495673827463,0.4995900018201296,0.44760810084115216,0.8032525759070285,-0.8454139315748487,1.0,0.5049578667683908,-0.7879974969045057,0.7719693614792805,0.43745920842784286,-0.2694800335008833,-0.009069536678903678,-0.33754313751740533,0.49373015725744174,0.07505217182427569,-0.08947726414302173,-0.053542788723584506,-0.2608502028083635,0.2289144398774835,0.17109861564310813,0.861554733789669,0.7292835113709071
MagpieData mean NValence,1.2414715143149498e-16,0.12880548099096864,-0.09139093488793716,0.1780069136199908,0.47627163559925756,0.1447213762432293,0.8164344114584553,0.1433124156243664,0.4243850442160074,0.44825982210874743,-0.4521412487083304,0.4021320936935127,0.12700242085057717,0.006209733701095456,-0.21271901227919982,0.5049578667683908,1.0,-0.11541939131035833,0.49903431646080454,-0.3203582365743486,0.45733718416894836,0.4980698388283086,0.3497592428069231,-0.11550010428648357,0.10355851481136363,0.637322622666082,-0.0820095699274767,0.3538017115420221,0.06307209667627149,0.17115321644771694,0.5832363933299514,0.7705970896895644
PymatgenData mean X,6.886507904334271e-16,0.05319710488269739,0.13167579314134328,0.3677784124225496,-0.21279771867250566,-0.033426972830081274,-0.2794668498514654,0.06803635447544737,0.03729077491350481,0.23882545551755782,0.13741121264592804,-0.27974887512057084,-0.3191954713162105,-0.7671762597282116,0.8003246647929178,-0.7879974969045057,-0.11541939131035833,1.0,-0.6847297919606251,-0.4540314383953967,0.3782965348043601,0.35083065068800495,0.38774960781445234,-0.32468316328485025,-0.22870140162473324,0.3411605764714042,0.19354429159773445,0.6145514457784164,-0.17811915849700022,-0.08719654352424862,-0.7583531226575082,-0.43193615588591766
DemlData mean molar_vol,1.0237268452776954e-16,-0.010578821996701664,-0.10935706117541512,-0.014714856442199805,0.6274872734349853,0.21625132842300604,0.47316215341605683,-0.0753967072104968,0.3988148744539259,0.07961848527788429,-0.13430006579754347,0.17969329103572554,0.14503450562258427,0.5017964026181413,-0.6346612759283723,0.7719693614792805,0.49903431646080454,-0.6847297919606251,1.0,0.12785462151305538,-0.05376554022926263,-0.1145696347452286,0.07851160023526747,0.2041000046467066,0.18801691988517538,0.1581655530857164,-0.1770338693216155,-0.08356553519216418,0.4277390393132682,0.5889605068497955,0.7972240970544091,0.5167834613977225
MagpieData mean Polarizability_A,-4.02288317063851e-16,-0.14528019943571593,-0.14989513584167732,-0.4590313987257401,-0.16250359295485023,-0.06421582802384308,-0.1117206155575965,-0.20541275907590387,-0.6384367809342522,-0.8460541197988426,0.2800023907175615,-0.021974510915159284,0.3257781849054545,0.8719525636969382,-0.45955370799295125,0.43745920842784286,-0.3203582365743486,-0.4540314383953967,0.12785462151305538,1.0,-0.7302812847873548,-0.32881819403112167,-0.8256124342870371,0.8860289411078883,0.22283059652409143,-0.5026625843504642,-0.0547802137006087,-0.7388013509923518,0.36466947916226033,0.2170852205301821,-3.5588282817083107e-17,4.230128231071157e-18
